text,primary_intent,sub_intent,market,language,variant,has_typo,has_accents,mentions_product,occasion,confidence_expected,source,timestamp
¿Puedo devolver un vestido si no me queda bien?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402524
cuanto tiempo tengo para devolver,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402555
¿Se puede cambiar lencería?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402562
la politica de devolucion es de 30 dias,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.140257
quiero saber si aceptan devoluciones,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402571
¿Cuántos días tengo para hacer un cambio?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402576
puedo devolver el vestido Emma si me queda chico,INFORMATIONAL,policy_return,CL,es,neutral,False,False,Emma,null,MEDIUM,claude_synthetic,1766882489.1402578
¿La lencería se puede devolver si no me queda?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.140258
que pasa si quiero devolver algo después de probarlo,INFORMATIONAL,policy_return,CL,es,neutral,False,True,null,null,MEDIUM,claude_synthetic,1766882489.1402583
¿Aceptan devoluciones de productos adhesivos?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402588
cuanto sale devolver un pedido,INFORMATIONAL,policy_return,CL,es,informal,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402588
¿Puedo cambiar un bralette Florencia por otra talla?,INFORMATIONAL,policy_return,CL,es,formal,False,True,Florencia,null,HIGH,claude_synthetic,1766882489.1402593
devolucion de vestidos de fiesta,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,fiesta,MEDIUM,claude_synthetic,1766882489.1402605
¿Qué condiciones tienen para las devoluciones?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402607
puedo devolver si no me gusta el color,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402612
¿Los días para devolver son hábiles?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402614
quiero cambiar mi vestido Leire por talla M,INFORMATIONAL,policy_return,CL,es,neutral,False,False,Leire,null,MEDIUM,claude_synthetic,1766882489.1402614
¿Se puede devolver lencería sin costuras?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.140262
politica de cambios y devoluciones,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402621
